day,time,use?,action,date_time,remarks,duration,duration_seconds,timestamp,duration_msec
23.01.2018,22:26:00,u,liegen,2018-01-23 22:26:00,,01:38:00,5880,1516746360000,5880000
24.01.2018,00:04:00,n,schlafen,2018-01-24 00:04:00,,09:15:00,33300,1516752240000,33300000
24.01.2018,09:19:00,u,liegen,2018-01-24 09:19:00,,01:20:00,4800,1516785540000,4800000
24.01.2018,10:39:00,u,gehen,2018-01-24 10:39:00,,00:29:00,1740,1516790340000,1740000
24.01.2018,11:08:00,u,liegen,2018-01-24 11:08:00,,04:59:00,17940,1516792080000,17940000
24.01.2018,16:07:00,u,joggen,2018-01-24 16:07:00,,00:21:00,1260,1516810020000,1260000
24.01.2018,16:28:00,u,gehen,2018-01-24 16:28:00,,00:22:00,1320,1516811280000,1320000
24.01.2018,16:50:00,u,sitzen,2018-01-24 16:50:00,,00:26:00,1560,1516812600000,1560000
24.01.2018,17:16:00,u,nul,2018-01-24 17:16:00,,04:26:00,15960,1516814160000,15960000
24.01.2018,21:42:00,u,liegen,2018-01-24 21:42:00,,00:22:00,1320,1516830120000,1320000
24.01.2018,22:04:00,n,schlafen,2018-01-24 22:04:00,,11:34:00,41640,1516831440000,41640000
25.01.2018,09:38:00,u,sitzen,2018-01-25 09:38:00,,04:49:00,17340,1516873080000,17340000
25.01.2018,14:27:00,n,sitzen,2018-01-25 14:27:00,band lädt auf ,00:48:00,2880,1516890420000,2880000
25.01.2018,15:15:00,u,nul,2018-01-25 15:15:00,,00:46:00,2760,1516893300000,2760000
25.01.2018,16:01:00,u,gehen,2018-01-25 16:01:00,,00:03:00,180,1516896060000,180000
25.01.2018,16:04:00,u,sitzen,2018-01-25 16:04:00,,01:00:00,3600,1516896240000,3600000
25.01.2018,17:04:00,u,joggen,2018-01-25 17:04:00,,00:22:00,1320,1516899840000,1320000
25.01.2018,17:26:00,u,gehen,2018-01-25 17:26:00,,00:04:00,240,1516901160000,240000
25.01.2018,17:30:00,u,duschen,2018-01-25 17:30:00,,00:12:00,720,1516901400000,720000
25.01.2018,17:42:00,u,sitzen,2018-01-25 17:42:00,,00:46:00,2760,1516902120000,2760000
25.01.2018,18:28:00,u,gehen,2018-01-25 18:28:00,,00:13:00,780,1516904880000,780000
25.01.2018,18:41:00,u,sitzen,2018-01-25 18:41:00,,04:06:00,14760,1516905660000,14760000
25.01.2018,22:47:00,n,nul,2018-01-25 22:47:00,,00:44:00,2640,1516920420000,2640000
25.01.2018,23:31:00,n,nul,2018-01-25 23:31:00,,00:57:00,3420,1516923060000,3420000
26.01.2018,00:28:00,u,sitzen,2018-01-26 00:28:00,,02:03:00,7380,1516926480000,7380000
26.01.2018,02:31:00,n,schlafen,2018-01-26 02:31:00,,09:48:00,35280,1516933860000,35280000
26.01.2018,12:19:00,u,liegen,2018-01-26 12:19:00,,00:57:00,3420,1516969140000,3420000
26.01.2018,13:16:00,u,sitzen,2018-01-26 13:16:00,,01:45:00,6300,1516972560000,6300000
26.01.2018,15:01:00,u,joggen,2018-01-26 15:01:00,,00:23:00,1380,1516978860000,1380000
26.01.2018,15:24:00,u,duschen,2018-01-26 15:24:00,,00:20:00,1200,1516980240000,1200000
26.01.2018,15:44:00,u,sitzen,2018-01-26 15:44:00,,02:51:00,10260,1516981440000,10260000
26.01.2018,18:35:00,n,nul,2018-01-26 18:35:00,,01:10:00,4200,1516991700000,4200000
26.01.2018,19:45:00,u,nul,2018-01-26 19:45:00,,01:54:00,6840,1516995900000,6840000
