,action,timestamp,duration_msec
0,joggen,1517813460000,1200000
1,haus,1517814660000,300000
2,duschen,1517814960000,1620000
3,haus,1517816580000,1920000
4,auto,1517818500000,360000
5,bahnhof,1517818860000,240000
6,bahn,1517819100000,600000
7,bahnhof,1517819700000,300000
8,bahn,1517820000000,780000
9,gehen,1517820780000,1320000
10,arbeit,1517822100000,7920000
11,nul,1517830020000,3240000
12,arbeit,1517833260000,120000
13,essen,1517833380000,1080000
14,arbeit,1517834460000,17460000
15,gehen,1517851920000,480000
16,bahn,1517852400000,300000
17,bahnhof,1517852700000,600000
18,bahn,1517853300000,660000
19,bahnhof,1517853960000,120000
20,bahn,1517854080000,720000
21,bahnhof,1517854800000,1680000
22,bahn,1517856480000,420000
23,gehen,1517856900000,540000
24,haus,1517857440000,600000
25,nul,1517858040000,4320000
26,essen,1517862360000,1260000
27,haus,1517863620000,1260000
28,schlafen,1517864880000,2400000
29,haus,1517867280000,1980000
30,auto,1517869260000,420000
31,haus,1517869680000,8820000
32,essen,1517878500000,1860000
33,haus,1517880360000,13080000
34,nul,1517893440000,35760000
35,haus,1517929200000,3480000
36,essen,1517932680000,3120000
37,haus,1517935800000,2340000
38,nul,1517938140000,4500000
39,haus,1517942640000,3960000
40,essen,1517946600000,10260000
41,joggen,1517956860000,1560000
42,haus,1517958420000,900000
43,essen,1517959320000,60000
44,haus,1517959380000,10200000
45,essen,1517969580000,120000
46,haus,1517969700000,5460000
47,essen,1517975160000,1080000
48,haus,1517976240000,4380000
49,nul,1517980620000,16320000
50,haus,1517996940000,1260000
51,gehen,1517998200000,360000
52,bahnhof,1517998560000,660000
53,bahn,1517999220000,1980000
54,gehen,1518001200000,1860000
55,arbeit,1518003060000,4920000
56,essen,1518007980000,840000
57,arbeit,1518008820000,1560000
58,essen,1518010380000,1440000
59,arbeit,1518011820000,10380000
60,nul,1518022200000,2280000
61,gehen,1518024480000,960000
62,bahn,1518025440000,480000
63,bahnhof,1518025920000,360000
64,bahn,1518026280000,780000
65,bahnhof,1518027060000,600000
66,bahn,1518027660000,780000
67,gehen,1518028440000,1260000
68,haus,1518029700000,1500000
69,essen,1518031200000,660000
70,haus,1518031860000,7140000
71,essen,1518039000000,1020000
72,haus,1518040020000,1080000
73,nul,1518041100000,35700000
74,haus,1518076800000,2520000
75,joggen,1518079320000,1560000
76,haus,1518080880000,420000
77,essen,1518081300000,780000
78,duschen,1518082080000,3480000
79,haus,1518085560000,3480000
80,essen,1518089040000,1680000
81,haus,1518090720000,2220000
82,gehen,1518092940000,1200000
83,bahn,1518094140000,1860000
84,gehen,1518096000000,900000
85,arbeit,1518096900000,6000000
86,essen,1518102900000,840000
87,essen,1518103740000,480000
88,arbeit,1518104220000,5160000
89,nul,1518109380000,2520000
90,gehen,1518111900000,1260000
91,essen,1518113160000,900000
92,essen,1518114060000,960000
93,essen,1518115020000,3060000
94,essen,1518118080000,11160000
95,essen,1518129240000,960000
96,essen,1518130200000,1200000
97,essen,1518131400000,38040000
98,haus,1518169440000,720000
99,gehen,1518170160000,420000
100,haus,1518170580000,14460000
101,essen,1518185040000,19080000
102,essen,1518204120000,11880000
103,essen,1518216000000,480000
104,essen,1518216480000,11520000
105,essen,1518228000000,2460000
106,schlafen,1518230460000,31560000
107,haus,1518262020000,5520000
108,essen,1518267540000,420000
109,haus,1518267960000,2640000
110,essen,1518270600000,6180000
111,essen,1518276780000,1380000
112,essen,1518278160000,13320000
113,essen,1518291480000,61320000
114,essen,1518352800000,8280000
115,essen,1518361080000,1320000
116,essen,1518362400000,19920000
117,essen,1518382320000,9840000
118,joggen,1518392160000,660000
119,haus,1518392820000,240000
120,essen,1518393060000,6840000
121,essen,1518399900000,12660000
122,joggen,1518412560000,660000
123,haus,1518413220000,3780000
124,essen,1518417000000,1500000
125,nul,1518418500000,16980000
126,haus,1518435480000,6480000
127,essen,1518441960000,8940000
128,essen,1518450900000,6300000
129,auto,1518457200000,1140000
130,haus,1518458340000,6060000
131,essen,1518464400000,56220000
132,haus,1518520620000,5160000
133,bahn,1518525780000,4140000
134,arbeit,1518529920000,7380000
135,bahn,1518537300000,5100000
136,haus,1518542400000,4320000
137,essen,1518546720000,55380000
138,haus,1518602100000,3300000
139,essen,1518605400000,19320000
140,essen,1518624720000,1920000
141,duschen,1518626640000,1620000
142,haus,1518628260000,8340000
143,essen,1518636600000,24000000
144,essen,1518660600000,38700000
145,haus,1518699300000,36300000
146,essen,1518735600000,54180000
147,haus,1518789780000,4080000
148,essen,1518793860000,9000000
149,essen,1518802860000,16860000
150,essen,1518819720000,57180000
151,essen,1518876900000,1860000
152,duschen,1518878760000,1740000
153,haus,1518880500000,2520000
154,essen,1518883020000,8040000
155,essen,1518891060000,4860000
156,bahn,1518895920000,600000
157,gehen,1518896520000,1320000
158,bahn,1518897840000,1080000
159,gehen,1518898920000,4200000
160,auto,1518903120000,1080000
161,haus,1518904200000,56880000
162,haus,1518961080000,720000
163,essen,1518961800000,17580000
164,joggen,1518979380000,540000
165,haus,1518979920000,960000
166,essen,1518980880000,1920000
167,essen,1518982800000,1680000
168,essen,1518984480000,4380000
169,essen,1518988860000,14040000
170,essen,1519002900000,15660000
171,nul,1519018560000,0
