"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.217040000E-1,-4.899311829E-1,8.686436462E-1,9.401649170E0,9.454394823E0
6.317140000E-1,-4.749623108E-1,8.448431396E-1,9.443562012E0,9.493166626E0
6.417550000E-1,-5.013075256E-1,8.524772644E-1,9.442364502E0,9.494012540E0
6.517950000E-1,-5.096900940E-1,7.999365234E-1,9.447603607E0,9.495098544E0
6.618050000E-1,-4.430786133E-1,7.545808411E-1,9.527238007E0,9.567338968E0
6.718450000E-1,-3.909869385E-1,7.801776123E-1,9.580976257E0,9.620636878E0
6.818550000E-1,-4.195774841E-1,8.267308044E-1,9.625882874E0,9.670426577E0
6.918950000E-1,-3.888912964E-1,8.951385498E-1,9.591005402E0,9.640533910E0
7.019050000E-1,-3.406915283E-1,9.220825195E-1,9.569450226E0,9.619806886E0
7.119450000E-1,-3.847000122E-1,8.713380432E-1,9.569300537E0,9.616586549E0
7.219850000E-1,-4.327500916E-1,8.521778870E-1,9.530082092E0,9.577888310E0
7.319950000E-1,-4.391867065E-1,8.173004150E-1,9.460925903E0,9.506312844E0
7.420350000E-1,-4.510121155E-1,7.381150818E-1,9.413474579E0,9.453133314E0
7.520450000E-1,-5.480104065E-1,7.752378845E-1,9.440867615E0,9.488481991E0
7.620850001E-1,-6.295907593E-1,8.312214661E-1,9.324260101E0,9.382384563E0
7.720950000E-1,-6.821315002E-1,8.229885864E-1,9.392069092E0,9.452702017E0
7.821350000E-1,-7.800279236E-1,8.240364075E-1,9.526339874E0,9.593676613E0
7.921760000E-1,-9.015751648E-1,8.436456299E-1,9.538614349E0,9.618198346E0
8.021850000E-1,-8.982820129E-1,7.676037598E-1,9.482780457E0,9.556110678E0
8.122260000E-1,-8.765771484E-1,6.965016174E-1,9.535620575E0,9.601122942E0
8.222350000E-1,-9.342073059E-1,7.256909180E-1,9.447304230E0,9.521078080E0
8.322760000E-1,-1.018182678E0,6.728507996E-1,9.435778198E0,9.514375143E0
8.423160000E-1,-1.148411865E0,6.782395935E-1,9.564360809E0,9.656907189E0
8.523260001E-1,-1.210682373E0,7.030879211E-1,9.440418549E0,9.543667367E0
8.623660000E-1,-1.225950623E0,7.179071045E-1,9.481732635E0,9.587575257E0
8.723760000E-1,-1.368304596E0,7.249424744E-1,9.567653961E0,9.692151535E0
8.824160000E-1,-1.541644135E0,7.445516968E-1,9.459578705E0,9.613254035E0
8.924260000E-1,-1.589095459E0,7.405101013E-1,9.393266602E0,9.555471576E0
9.024660000E-1,-1.673669586E0,6.598278809E-1,9.425449677E0,9.595605469E0
9.125060000E-1,-1.806892548E0,5.698649597E-1,9.424102478E0,9.612664265E0
9.225160000E-1,-1.950444031E0,5.625302124E-1,9.473200378E0,9.688250490E0
9.325570000E-1,-2.168690186E0,6.393205261E-1,9.560917969E0,9.824617054E0
9.425660000E-1,-2.380649414E0,7.225474548E-1,9.586814117E0,9.904371327E0
9.526070000E-1,-2.505639496E0,7.210505676E-1,9.649982758E0,9.996014727E0
9.626160000E-1,-2.626288605E0,6.988966370E-1,9.808952179E0,1.017847686E1
9.726468750E-1,-2.722388763E0,7.274871826E-1,9.907597046E0,1.030053967E1
9.826868750E-1,-2.622696075E0,6.454577637E-1,9.881700897E0,1.024417703E1
9.926968750E-1,-2.718945923E0,5.282514954E-1,1.000938538E1,1.038554342E1
1.002736875E0,-2.963537292E0,5.728587341E-1,1.010653336E1,1.054764129E1
1.012746875E0,-3.051703949E0,6.315367126E-1,1.000594254E1,1.048001057E1
1.022786875E0,-3.062780914E0,5.939648438E-1,1.001507355E1,1.048976260E1
1.032796875E0,-3.060834961E0,5.751040649E-1,1.012808853E1,1.059611404E1
1.042836875E0,-3.101999359E0,5.289999390E-1,1.023855881E1,1.071122437E1
1.052876875E0,-3.233875122E0,5.110372925E-1,1.029259644E1,1.080077075E1
1.062886875E0,-3.296894073E0,5.508544922E-1,1.035172348E1,1.087801132E1
1.072926875E0,-3.298091583E0,6.050418091E-1,1.032986893E1,1.086046388E1
1.082936875E0,-3.214116211E0,6.282435608E-1,1.023915756E1,1.075014328E1
1.092976875E0,-3.157084808E0,6.117778015E-1,1.020203476E1,1.069686729E1
1.103017875E0,-3.285218353E0,6.562353516E-1,1.034992722E1,1.087861654E1
1.113026875E0,-3.357667694E0,7.619155884E-1,1.033046768E1,1.088912348E1
1.123067875E0,-3.377276917E0,8.345146179E-1,1.039019348E1,1.095712255E1
1.133077875E0,-3.404071198E0,9.024732971E-1,1.033136581E1,1.091509406E1
1.143117875E0,-3.306773529E0,9.577084351E-1,1.022583527E1,1.078979441E1
1.153127875E0,-3.315754852E0,8.896000671E-1,1.024993515E1,1.080956933E1
1.163167875E0,-3.374881897E0,6.372248840E-1,1.035411850E1,1.090887956E1
1.173207875E0,-3.353326721E0,5.249583435E-1,1.051368668E1,1.104798574E1
1.183217875E0,-3.514990540E0,4.351451111E-1,1.050590286E1,1.108686181E1
1.193257875E0,-3.566483459E0,3.299139404E-1,1.042896286E1,1.102687235E1
1.203267875E0,-3.519032135E0,3.987707520E-1,1.047342041E1,1.105600020E1
1.213307875E0,-3.247796173E0,3.933819580E-1,1.036684204E1,1.087080233E1
1.223317875E0,-3.327131195E0,6.197113037E-2,1.051832703E1,1.103217321E1
1.233357875E0,-3.372337189E0,4.849914551E-2,1.056323364E1,1.108859393E1
1.243398875E0,-3.177592163E0,2.755769348E-1,1.033555710E1,1.081650476E1
1.253407875E0,-3.096311188E0,4.085005188E-1,1.015757721E1,1.062687115E1
1.263448875E0,-3.074456635E0,5.803431702E-1,1.004815475E1,1.052399619E1
1.273457875E0,-3.030747528E0,7.479945374E-1,9.897118835E0,1.037775928E1
1.283498875E0,-2.725232849E0,8.219407654E-1,9.712852020E0,1.012136231E1
1.293538875E0,-2.561772766E0,7.599696350E-1,9.617799683E0,9.982099192E0
1.303548875E0,-2.619851990E0,7.837701416E-1,9.461374969E0,9.848631194E0
1.313588875E0,-2.632725220E0,9.199868774E-1,9.490564270E0,9.891836437E0
1.323598875E0,-2.719993744E0,9.945318604E-1,9.652228088E0,1.007734919E1
