"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.715317083E-1,-1.093958865E-1,1.720013302E-3,-1.669321597E-2,1.106755705E-1
5.815717083E-1,-8.493570440E-2,1.706000084E-2,-2.675685883E-3,8.667339156E-2
5.915817083E-1,-6.831630953E-3,-5.382131774E-2,-5.737580359E-2,7.896447469E-2
6.016217083E-1,3.602867905E-2,-9.443611421E-2,-5.985151470E-2,1.174668004E-1
6.116317083E-1,2.797355477E-2,-5.020315206E-2,-3.989438295E-2,6.996026039E-2
6.216717083E-1,-1.272704959E-2,-2.206940185E-2,-1.422370291E-1,1.445005492E-1
6.317127083E-1,-9.081018269E-3,4.120569415E-3,-1.827383530E-1,1.830102447E-1
6.417227083E-1,1.182889899E-2,3.099462837E-3,-1.382006961E-1,1.387406282E-1
6.517627083E-1,3.391936909E-2,-5.337899415E-2,-1.345438474E-1,1.486670357E-1
6.617727083E-1,2.434411492E-2,-7.002342241E-2,-1.334562653E-1,1.526646337E-1
6.718127083E-1,9.987756964E-3,-6.239143554E-2,-2.128544372E-1,2.220348125E-1
6.818227083E-1,2.984345779E-2,-6.085042013E-2,-2.804985362E-1,2.885703284E-1
6.918627083E-1,3.341391385E-2,-3.699149620E-2,-2.829917890E-1,2.873485915E-1
7.019027083E-1,3.346429126E-2,-2.488580463E-2,-3.227288818E-1,3.254121897E-1
7.119127083E-1,7.799860429E-2,-6.692350276E-2,-2.931741303E-1,3.106663937E-1
7.219527083E-1,1.023607542E-1,-5.838017251E-2,-1.294152546E-1,1.750265028E-1
7.319627083E-1,7.410830554E-2,-3.902015112E-2,-9.664336503E-2,1.278849215E-1
7.420027083E-1,3.897437839E-2,-6.294803565E-2,-9.782274842E-2,1.226814879E-1
7.520127083E-1,1.080126911E-2,-6.008874720E-2,6.979236603E-3,6.144944831E-2
7.620527083E-1,-3.309721403E-2,-6.996719778E-2,-2.487522483E-2,8.129951507E-2
7.720627083E-1,-4.699589945E-3,-1.005252584E-1,-3.799345315E-2,1.075681933E-1
7.821027083E-1,3.215837047E-2,-1.145457669E-1,2.150547445E-2,1.209023529E-1
7.921437083E-1,9.545689188E-3,-1.428444451E-1,6.004798114E-2,1.552463067E-1
8.021527083E-1,-1.700483602E-2,-1.249663457E-1,1.054527801E-1,1.643959879E-1
8.121937083E-1,-2.628710814E-2,-1.051232347E-1,8.675455391E-2,1.388101551E-1
8.222027083E-1,-4.667159826E-2,-6.959491286E-2,7.592141747E-2,1.130740979E-1
8.322437083E-1,-3.569626484E-2,-1.588604439E-2,4.845704556E-2,6.224688742E-2
8.422537083E-1,-1.277243860E-2,1.911474897E-2,4.089951932E-2,4.691779510E-2
8.522937083E-1,1.611763068E-2,1.713380367E-2,-8.549798727E-3,2.502886943E-2
8.623337083E-1,-2.951966822E-3,-2.119056534E-2,2.867299139E-2,3.577561464E-2
8.723437083E-1,-6.910897270E-3,6.038236879E-3,6.875799358E-2,6.936773376E-2
8.823837083E-1,4.190114737E-3,-1.840635879E-2,-1.253526092E-2,2.266018252E-2
8.923937083E-1,3.788922653E-3,-6.723841187E-2,-3.785896719E-2,7.725711204E-2
