"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.116330000E-1,-3.173400879E-2,-7.289840698E-2,9.710906067E0,9.711231532E0
6.216730000E-1,-1.496887207E-2,-6.286926270E-2,9.836045837E0,9.836258147E0
6.317231251E-1,-9.131011963E-3,-3.742218018E-2,9.727072449E0,9.727148720E0
6.417641250E-1,-4.490661621E-4,-3.397933960E-2,9.742640076E0,9.742699341E0
6.517731250E-1,2.380050659E-2,-2.619552612E-2,9.769883423E0,9.769947531E0
6.618141250E-1,1.182540894E-2,-1.137634277E-2,9.746382294E0,9.746396107E0
6.718231250E-1,6.586303711E-3,-1.092727661E-2,9.753118286E0,9.753126631E0
6.818641250E-1,-2.395019531E-3,-3.502716064E-2,9.762249298E0,9.762312431E0
6.919041250E-1,-2.140548706E-2,-3.966751099E-2,9.745334473E0,9.745438712E0
7.019141250E-1,-2.409988403E-2,-4.580474854E-2,9.754914551E0,9.755051859E0
7.119541250E-1,-1.197509766E-2,-6.197113037E-2,9.749376068E0,9.749580378E0
7.219641251E-1,-2.933898926E-2,-6.885681152E-2,9.751621399E0,9.751908631E0
7.320041250E-1,-2.065704346E-2,-6.706054688E-2,9.747130737E0,9.747383312E0
7.420141250E-1,-1.945953369E-2,-6.840774536E-2,9.757459259E0,9.757718457E0
7.520541250E-1,-1.811233521E-2,-6.601272583E-2,9.753267975E0,9.753508186E0
7.620941250E-1,-2.005828857E-2,-5.987548828E-2,9.756112061E0,9.756316413E0
7.721041250E-1,-1.526824951E-2,-4.131408691E-2,9.754465485E0,9.754564924E0
7.821441250E-1,-2.245330811E-3,-2.829116821E-2,9.759854279E0,9.759895541E0
7.921541251E-1,2.245330811E-3,-2.454895020E-2,9.756710815E0,9.756741958E0
8.021941250E-1,-1.017883301E-2,-3.577560425E-2,9.751621399E0,9.751692336E0
8.122041250E-1,-1.062789917E-2,-5.179229736E-2,9.749525757E0,9.749669116E0
8.222441250E-1,-2.544708252E-3,-5.807922363E-2,9.759854279E0,9.760027419E0
8.322541250E-1,-2.080673218E-2,-6.661148071E-2,9.762698364E0,9.762947780E0
8.422951250E-1,-2.155517578E-2,-6.152206421E-2,9.760153656E0,9.760371355E0
8.523351250E-1,-2.514770508E-2,-5.643264771E-2,9.760902100E0,9.761097625E0
8.623451250E-1,-2.110610962E-2,-4.236190796E-2,9.760453033E0,9.760567781E0
8.723851250E-1,-1.571731567E-2,-3.532653809E-2,9.750124512E0,9.750201177E0
8.823951251E-1,-6.137237549E-3,-3.517684937E-2,9.754615173E0,9.754680531E0
8.924351250E-1,-7.185058594E-3,-3.847000122E-2,9.750723267E0,9.750801802E0
9.024451250E-1,-1.062789917E-2,-4.595443726E-2,9.755064240E0,9.755178270E0
9.124851250E-1,2.694396973E-3,-4.999603271E-2,9.756860504E0,9.756988970E0
9.225251250E-1,-1.242416382E-2,-5.658233643E-2,9.748028870E0,9.748201001E0
9.325351250E-1,-1.691482544E-2,-6.795867920E-2,9.750723267E0,9.750974757E0
9.425751250E-1,-8.382568359E-3,-6.271957397E-2,9.766141205E0,9.766346197E0
9.525851251E-1,-1.107696533E-2,-5.882766724E-2,9.766590271E0,9.766773721E0
9.626251250E-1,-4.790039062E-3,-5.224136353E-2,9.756860504E0,9.757001537E0
9.726351250E-1,-4.939727783E-3,-5.059478760E-2,9.752070465E0,9.752202961E0
9.826751250E-1,-1.796264648E-3,-4.370910645E-2,9.763297119E0,9.763395124E0
9.926851250E-1,1.646575928E-3,-3.622467041E-2,9.754465485E0,9.754532886E0
1.002725125E0,-8.981323242E-3,-4.415817261E-2,9.750872955E0,9.750977079E0
1.012766125E0,-1.526824951E-2,-4.535568237E-2,9.768536224E0,9.768653450E0
1.022775125E0,2.245330811E-3,-5.209167480E-2,9.759704590E0,9.759843865E0
1.032816125E0,1.796264648E-3,-3.936813354E-2,9.755962372E0,9.756041968E0
1.042826125E0,-1.257385254E-2,-6.256988525E-2,9.749226379E0,9.749435270E0
1.052866125E0,-2.844085693E-2,-7.798782349E-2,9.757908325E0,9.758261416E0
1.062876125E0,-3.308120728E-2,-6.331832886E-2,9.745933228E0,9.746195055E0
1.072916125E0,-5.089416504E-2,-5.508544922E-2,9.755812683E0,9.756100949E0
1.082926125E0,-2.874023438E-2,-2.918930054E-2,9.752070465E0,9.752156499E0
1.092966125E0,-2.275268555E-2,-3.502716064E-2,9.763746185E0,9.763835525E0
1.103006125E0,-1.586700439E-2,-4.131408691E-2,9.764344940E0,9.764445234E0
1.113016125E0,4.640350342E-3,-3.323089600E-2,9.757159882E0,9.757217574E0
1.123056125E0,1.047821045E-3,-3.308120728E-2,9.759554901E0,9.759611024E0
1.133066125E0,2.095642090E-3,-4.296066284E-2,9.757159882E0,9.757254684E0
1.143106125E0,1.062789917E-2,-4.640350342E-2,9.750723267E0,9.750839475E0
1.153116125E0,6.885681152E-3,-5.403762817E-2,9.759255524E0,9.759407557E0
1.163156125E0,8.083190918E-3,-4.610412598E-2,9.757159882E0,9.757272154E0
1.173197125E0,-3.442840576E-3,-4.909790039E-2,9.751471710E0,9.751595919E0
