"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.815740000E-1,-5.465689399E-3,1.970359099E-2,-8.908174574E-2,9.139837353E-2
5.916140000E-1,1.842244663E-3,2.126360529E-2,-1.000084376E-1,1.022605612E-1
6.016540000E-1,9.788056277E-3,1.651638337E-2,-6.228688002E-2,6.517861910E-2
6.116640000E-1,6.583811221E-3,4.786370848E-3,-7.620793104E-2,7.664140310E-2
6.217040000E-1,-6.551482514E-3,-9.285798725E-3,-1.143785548E-1,1.149417321E-1
6.317140000E-1,-1.894032492E-3,-6.203493811E-3,-5.166131973E-2,5.206690553E-2
6.417540000E-1,7.559062267E-3,-8.782129618E-3,-1.342930019E-1,1.347919715E-1
6.517950000E-1,4.874732898E-3,4.019974465E-3,-7.277386129E-2,7.304764269E-2
6.618040000E-1,-2.039056574E-3,3.746544044E-3,-8.744686425E-2,8.755083330E-2
6.718450000E-1,-4.972405953E-4,1.740026311E-3,-1.179845327E-1,1.179984106E-1
6.818540000E-1,-4.155282690E-3,8.110969760E-3,-6.529585719E-2,6.592877347E-2
6.918950000E-1,-1.147021343E-2,8.780690655E-4,-8.909811795E-2,8.983769489E-2
7.019040000E-1,-5.816613130E-3,-6.783624399E-3,-7.487710476E-2,7.540843033E-2
7.119450000E-1,-1.368508390E-2,-1.027840469E-2,-9.224099636E-2,9.381539604E-2
7.219850000E-1,-1.186533445E-2,-1.186754087E-2,-9.897640407E-2,1.003890096E-1
7.319950000E-1,-3.249265304E-2,-3.512586895E-3,-8.712936044E-3,3.382345374E-2
7.420350000E-1,-3.474429474E-2,-3.218814558E-3,-9.104173243E-2,9.749935296E-2
7.520450000E-1,-1.819228217E-2,-1.719620442E-2,-1.365494424E-1,1.388251375E-1
7.620993750E-1,-4.183220846E-3,-2.153004189E-3,-1.245772684E-1,1.246660762E-1
7.721093750E-1,-3.623254588E-3,6.944427397E-3,-7.787614167E-2,7.826906469E-2
7.821493750E-1,9.795995699E-3,1.403071830E-2,-8.161894441E-2,8.339349299E-2
7.921893750E-1,7.187701261E-3,2.628820449E-2,-7.278614044E-2,7.772100736E-2
8.021993750E-1,-6.354027637E-3,2.206604427E-2,-7.233532012E-2,7.589257219E-2
8.122403750E-1,5.622626612E-3,2.196237497E-2,-6.769380033E-2,7.138914797E-2
8.222493750E-1,5.227853903E-3,9.725025119E-3,-9.598262966E-2,9.661558759E-2
8.322903750E-1,-2.943827544E-3,2.253416413E-4,-9.822620630E-2,9.827056784E-2
8.422993750E-1,-5.097123522E-3,6.604187968E-3,-6.364577293E-2,6.419018912E-2
8.523403750E-1,-1.637134388E-2,-9.319730848E-4,-5.765588522E-2,5.994239380E-2
8.623803750E-1,-1.603501706E-2,-5.316375266E-3,-8.609323382E-2,8.773500173E-2
8.723903750E-1,-2.042261122E-2,-4.040302676E-3,-6.483275771E-2,6.809327109E-2
8.824303750E-1,-2.196102965E-2,-1.311317139E-2,-7.725516737E-2,8.137937682E-2
8.924403750E-1,-4.113760607E-3,-1.209301041E-2,-1.344385976E-1,1.350440685E-1
9.024803750E-1,-1.938402238E-3,-1.648436530E-2,-1.175255263E-1,1.186917901E-1
9.125203750E-1,-1.946108229E-2,-8.860500581E-3,-8.429579973E-2,8.696564866E-2
9.225303750E-1,-1.984977367E-2,-4.991096486E-3,-8.324797869E-2,8.572718655E-2
9.325703750E-1,-8.683490973E-3,-8.742153849E-3,-8.294743180E-2,8.385764552E-2
9.425803750E-1,-2.445264473E-3,3.195489650E-3,-9.881326675E-2,9.889515741E-2
9.526203750E-1,6.653754541E-3,1.583281646E-2,-7.980104506E-2,8.162816499E-2
9.626303750E-1,7.955566871E-3,1.755793237E-2,-6.018831432E-2,6.319972479E-2
9.726703750E-1,-2.433454125E-3,2.267241424E-2,-8.323394537E-2,8.630092542E-2
9.827113750E-1,-1.086674194E-3,2.308482110E-2,-6.017369628E-2,6.445900674E-2
9.927203750E-1,-1.774820213E-2,1.909315538E-2,-6.300667226E-2,6.818642102E-2
1.002761375E0,-5.350351243E-2,2.532352811E-2,-8.111082137E-2,1.004135064E-1
1.012771375E0,-5.300633008E-2,2.739085689E-2,-1.284118724E-1,1.415963949E-1
1.022811375E0,-8.162971607E-2,4.162939345E-2,-1.683799303E-1,1.916982469E-1
1.032821375E0,-1.091098663E-1,5.436176035E-2,-5.566256940E-2,1.340092741E-1
1.042861375E0,-5.686186074E-2,7.068405271E-2,-3.919213235E-2,9.882069496E-2
1.052901375E0,-4.041528764E-2,5.107247771E-2,-7.540861666E-2,9.964061883E-2
1.062911375E0,6.793523552E-2,6.356328608E-2,-6.776513636E-2,1.150982244E-1
1.072951375E0,9.185980358E-2,8.364407273E-2,-7.898360431E-2,1.472174044E-1
1.082961375E0,4.640930952E-2,7.790805467E-2,-8.421861649E-2,1.237588961E-1
1.093001375E0,2.508412346E-2,8.028514883E-2,-1.077162373E-1,1.366664046E-1
1.103042375E0,2.298065844E-2,1.040609053E-1,-9.783619702E-2,1.446675641E-1
1.113051375E0,4.240399878E-2,1.509493804E-1,-7.852986038E-2,1.753589277E-1
1.123092375E0,3.656644702E-2,1.901106139E-1,-1.047288948E-1,2.201074555E-1
1.133101375E0,4.222831279E-2,1.658610228E-1,-8.601663530E-2,1.915514835E-1
1.143142375E0,-4.931984791E-3,5.951802241E-2,-4.798692942E-2,7.661243280E-2
1.153151375E0,-7.151127384E-2,-3.891625798E-2,-9.203517437E-3,8.193315663E-2
1.163192375E0,-4.732135182E-2,-9.414693285E-3,-5.095906913E-2,7.017673058E-2
1.173232375E0,9.493507356E-3,4.782246277E-2,-1.576853728E-1,1.650508753E-1
1.183242375E0,6.150686145E-3,1.464655253E-1,-1.284937334E-1,1.949374786E-1
1.193282375E0,4.091278519E-2,1.589242151E-1,-5.784007251E-2,1.740006785E-1
1.203292375E0,5.810667814E-2,1.192061074E-1,-8.927762747E-2,1.598654961E-1
1.213332375E0,-1.612124179E-2,1.036183350E-1,-1.129278606E-1,1.541082590E-1
1.223342375E0,3.951092895E-2,1.874577869E-1,-5.604029953E-2,1.996047358E-1
1.233382375E0,6.337596048E-2,1.959928215E-1,-7.788549721E-2,2.202177311E-1
1.243422375E0,-4.462372518E-2,2.137646660E-1,-6.769555449E-2,2.286247961E-1
