"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.718140000E-1,3.667991269E-2,1.180767543E-3,-1.083758032E-1,1.144208239E-1
6.818540000E-1,4.234769192E-2,-7.965412920E-3,-1.287322998E-2,4.497215654E-2
6.918640000E-1,7.195161486E-2,-1.085488991E-2,-2.321309531E-1,2.432686640E-1
7.019040000E-1,4.041829348E-2,1.491177035E-4,-1.464867854E-1,1.519606495E-1
7.119140000E-1,4.980914108E-2,1.854429826E-2,-3.584401667E-2,6.410643544E-2
7.219540000E-1,5.367290810E-2,1.747332133E-2,-5.857097447E-2,8.134283664E-2
7.319950000E-1,4.522207350E-2,8.854235380E-3,-1.043365467E-1,1.140594073E-1
7.420050000E-1,2.472816736E-2,6.493319278E-3,-1.018994272E-1,1.050577875E-1
7.520450000E-1,4.592494536E-3,1.164080137E-2,1.743054986E-2,2.145747728E-2
7.620550000E-1,-5.535851419E-3,2.167487468E-3,3.407114089E-2,3.458592624E-2
7.720950000E-1,1.359934453E-3,-3.093770938E-4,-6.843054950E-2,6.844476051E-2
7.821050000E-1,2.143198226E-2,-2.322495785E-2,-1.232873726E-1,1.272733467E-1
7.921450000E-1,-1.639705449E-2,-1.125409257E-2,-2.505531907E-2,3.198885758E-2
8.021550000E-1,1.993025282E-2,4.194189515E-3,-1.383182251E-1,1.398096478E-1
8.122293333E-1,5.301544352E-2,4.171658092E-2,-1.971844840E-1,2.084049690E-1
8.222693334E-1,6.541042607E-3,-3.613242373E-3,-1.312489414E-1,1.314614977E-1
8.322793333E-1,3.629787024E-2,-5.070807055E-3,-6.604079247E-2,7.552903242E-2
8.423193333E-1,4.970030978E-2,-1.233362334E-2,1.130793035E-2,5.244147544E-2
8.523293334E-1,1.067052720E-1,-8.231372153E-3,-4.693676949E-2,1.168624443E-1
8.623693333E-1,3.699103573E-1,1.022176893E-1,6.997655332E-2,3.901010721E-1
8.723793334E-1,4.075022895E-1,8.015979915E-2,-1.084939170E-1,4.292489247E-1
8.824193333E-1,1.870640683E-1,1.179771460E-2,9.273099303E-3,1.876649730E-1
